Pantun,Pemantun,Himpunan,Tema,Jenis,Markah
"Kerap disebut bagai tauladan,
banyak pengikut dan berwibawa;
Selamat sambut bulan Ramadan,
berasa takut menuju taqwa.",YM Raja Muhammad Amin,Himpunan Pantun Yang Mulia Raja M. Amin,Pemimpin,Ucapan,25
"Daun rumbia diikat-ikat,
dipunggah sudah dahan yang tua;
Walau berusia sungguh berbakat,
menjadi faedah untuk semua.",CG Karmin Abbas,Pantun Politik CG Karmin,Bakat,Ingatan,25
"Biar perahu di laut lepas,
dihempas badai kanan dan kiri;
orang yang tahu dapat memapas,
kerana pandai walau sendiri.",CG Karmin Abbas,Remaja 4D,Pandai,Semangat,25
"Air sungai sumber di atas,
Jangan hanyut dibawa arus;
kalau perangai tiada batas,
susah mengikut jalan yang urus.",CG Karmin Abbas,Remaja 4D,Perangai Buruk,Nasihat,25
"Bertiup angin pagi bersinar,
bayang pohon berbelah-belah;
Andai ingin jalan yang benar,
doa mohon petunjuk Allah.",CG Karmin Abbas,Rema 4D,Petunjuk,Tazkirah,25
"Bendang sedulur di Pulau Pandan,
punya gembala sungguh pemurah;
Tangan menghulur salam Ramadan,
penghulu segala bulan Hijrah.",Awang Abdul Muizz bin Awang Marusin,Himpunan Sepanggar Berpantun,Ramadan,,25
"Bubuhkan ragi ubinya putih,
diagih-agih jual di pasar;
Kecil lagi sudah terlatih,
makin gigih semakin besar.
",CG Karmin Abbas,Himpunan Pantun CG karmin Abbas,Gigih,Perangsang,25
"Elok cuaca jalan sebatu,
di pinggir taman bersua teman;
Kitab dibaca khatamkan tentu,
buat pedoman sepanjang zaman.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Rumpun berduri bersisal-sisal,
luruskan benang sesudah basah.
Jikalau diri cepat menyesal,
Hati kan tenang tiada resah.",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
"Dipetik sudah buah berangan,
berbenah-benah atas serambi;
Apa juadah jadi hidangan,
sebagai sunnah amalan Nabi?",CG Karmin Abbas,Pantun Teka-Teki Puasa dan Hari Raya,Teka-Teki Puasa dan Hari Raya,Teka-Teki,25
